"lemma","prior_polarity_score"
"devoutly",0.21
"devoutness",-0.02
"dew",-0.05
"dewy-eyed",0.44
"dexterity",0.33
"dexterous",-0.08
"dexterously",0.12
"dextrous",-0.08
"dextrously",0.12
"dharma",-0.07
"dhaulagiri",0.15
"diabetes",-0.56
"diabetic",-0.50
"diabetic",-0.50
"diabolic",-0.43
"diabolical",-0.44
"diabolically",-0.28
"diabolise",-0.01
"diabolist",0.12
"diabolize",-0.01
"diacalpa",-0.19
"diacetylmorphine",-0.07
"diacritic",0.28
"diacritical",0.28
"diagnosable",0.15
"diagnose",4.0e-05
"diagnosing",0.15
"diagnosis",-0.09
"diagnostic",-0.04
"diagonal",0.04
"diagonal",0.04
"diagonalizable",0.28
"diagonally",0.12
"diagram",0.11
"diagram",0.11
"diagrammatically",0.12
"dial",-0.09
"dial",-0.09
"dialect",0.25
"dialectically",0.15
"dialectician",0.12
"dialog",0.12
"dialogue",0.31
"dialysis",-0.44
"diamante",-0.09
"diameter",-0.06
"diametric",0.05
"diametrical",0.05
"diamond",0.47
"dianoetic",0.15
"diaper",-0.32
"diaphoretic",0.12
"diaphragm",-0.08
"diarrhea",-0.72
"diary",0.25
"dias",0.17
"diastasis",-0.19
"diathesis",0.08
"diaz",0.17
"diazoxide",-0.34
"dibs",0.05
"dice",0.20
"dicey",-0.19
"dichotomisation",0.12
"dichotomization",0.12
"dichotomously",0.21
"dick",-0.48
"dickensian",-0.38
"dickey",-0.34
"dickhead",-0.60
"dicky",-0.34
"dicloxacillin",-0.07
"dicoumarol",0.12
"dicranum",-0.07
"dictate",-0.15
"dictated",-0.07
"dictation",-0.18
"dictator",-0.55
"dictatorial",0.01
"dictatorially",0.12
"dictatorship",-0.59
"diction",-0.03
"dictionary",0.26
"dictum",-0.06
"dicumarol",0.12
"dicynodont",0.17
"didactic",-0.17
"didactical",-0.17
"didactically",0.15
"didactics",0.15
"didanosine",-0.06
"didder",-0.07
"diddle",-0.06
"diddley",-0.01
"diddly",-0.01
"diddlyshit",-0.01
"diddly-shit",-0.01
"diddlysquat",-0.01
"diddly-squat",-0.01
"dideoxycytosine",-0.06
"dideoxyinosine",-0.06
"didrikson",0.15
"die",-0.83
"die",-0.83
"dieback",-0.06
"die-hard",-0.28
"diesel",-0.17
"diet",-0.14
"diet",-0.14
"dieter",-0.19
"differ",0.02
"difference",-0.02
"different",0.22
"differentia",0.15
"differentiable",0.16
"differential",-0.25
"differential",-0.25
"differentially",0.15
"differentiate",0.12
"differentiated",0.16
"differently",0.15
"difficult",-0.30
"difficultness",-0.07
"difficulty",-0.60
"diffidence",0.21
"diffident",0.42
"diffidently",0.15
"diffuse",0.01
"diffuse",0.01
"diffusely",0.12
"diffusing",-0.07
"diffusive",-0.07
"diflunisal",-0.19
"dig",0.07
"dig",0.07
"digenesis",0.15
"digest",-0.06
"digest",-0.06
"digestible",0.17
"digestion",-0.12
"digestive",4.0e-05
"digestive",8.0e-05
"diggings",0.10
"dighted",-0.07
"digit",-0.04
"digital",0.25
"digitalisation",-0.07
"digitalization",-0.07
"digitate",-0.07
"digitately",0.21
"dignified",0.38
"dignify",0.17
"dignifying",0.44
"dignity",0.55
"digress",-0.02
"digression",5.6e-03
"digressive",0.01
"digs",0.10
"dike",-0.19
"dike",-0.19
"dilantin",-0.34
"dilapidate",-0.26
"dilapidated",-0.28
"dilapidation",0.10
"dilation",0.04
"dilatoriness",-0.38
"dilaudid",-0.38
"dildo",-0.10
"dilemma",-0.19
"dilettante",-0.28
"dilettante",0.20
"dilettanteish",0.20
"dilettantish",0.20
"diligence",0.17
"diligent",0.28
"diligently",0.17
"dill",0.21
"diltiazem",-0.07
"dilute",-0.38
"dilute",-0.23
"diluted",-0.38
"dilution",-0.08
"dim",-0.40
"dim",-0.40
"dime",0.14
"dimension",0.06
"dimension",0.06
"dimensional",0.29
"dimetane",-0.07
"diminish",-0.23
"diminished",-0.26
"diminishing",0.04
"diminutive",-0.14
"diminutive",-0.14
"dimly",0.16
"dimmed",0.04
"dimness",-0.23
"dimocarpus",0.12
"dimorphic",-0.07
"dimorphous",-0.07
"dimout",-0.19
"dim-sighted",-0.06
"dimwit",-0.38
"dim-witted",-0.02
"din",-0.08
"dine",0.40
"diner",0.43
"dingdong",0.15
"dinge",-0.06
"dinge",0.04
"dinghy",-0.04
"dingily",0.15
"dinginess",0.04
"dingo",0.16
"dingy",-0.38
"dining",0.44
"dinky",-0.22
"dinky",-0.22
"dinner",0.35
"dinnertime",0.39
"dinoceras",-0.07
"dinocerate",-0.07
"dinosaur",0.27
"diocese",0.01
"diodon",-0.07
"dionysia",0.12
"dioon",0.12
"diovan",0.12
"dioxide",-0.10
"dip",0.10
"dip",0.10
"diphenylhydantoin",-0.34
"diphtheria",-0.42
"diploma",0.33
"diplomacy",0.13
"diplomat",-0.08
"diplomatic",0.22
"diplomatically",0.12
"dipodomys",0.12
"dipped",-0.34
"dipper",0.09
"dipsomania",-0.01
"dipstick",-0.22
"dire",-0.50
"direct",0.18
"direct",0.18
"direct",0.18
"directed",0.17
"direction",0.11
"directional",5.6e-03
"directionless",0.17
"directive",0.17
"directive",0.17
"directiveness",0.06
"directivity",0.05
"directly",-0.12
"directness",0.20
"director",-0.01
"directory",0.05
"direful",-0.38
"direfully",0.15
"dirigible",0.12
"dirigible",0.28
"dirndl",-0.18
"dirt",-0.12
"dirt",-0.12
"dirtily",0.09
"dirtiness",-0.05
"dirty",-0.45
"dirty",-0.45
"dirty-faced",-0.42
"dirty-minded",-0.05
"disability",-0.51
"disable",-0.35
"disabled",-0.57
"disabled",-0.57
"disablement",-0.42
"disabling",-0.32
"disabuse",0.25
"disabused",0.28
"disaccharide",0.15
"disaccord",0.15
"disadvantage",-0.58
"disadvantage",-0.58
"disadvantaged",-0.25
"disadvantageous",0.35
"disadvantageously",-0.33
"disaffect",0.21
"disaffected",-0.38
"disagree",-0.54
"disagreeable",-0.42
"disagreeableness",-0.41
"disagreeably",-0.19
"disagreement",-0.53
"disambiguation",0.15
"disappear",-0.22
"disappearance",-0.31
"disappoint",-0.40
"disappointed",-0.58
"disappointedly",0.15
"disappointing",-0.55
"disappointingly",0.15
"disappointment",-0.55
"disapprobation",-0.13
"disapproval",-0.40
"disapprove",-0.36
"disapproving",-0.34
"disapprovingly",-0.01
"disarm",-0.15
"disarming",0.37
"disarranged",-0.38
"disarray",-0.18
"disarrayed",-0.25
"disassociation",-0.06
"disaster",-0.82
"disastrous",-0.69
"disastrously",0.15
"disavowal",-0.19
"disband",-0.25
"disbelief",-0.19
"disbelieve",-0.34
"disbelieving",-0.17
"disbelievingly",0.15
"disbud",0.11
"disc",0.15
"discard",-0.25
"discard",-0.25
"disceptation",0.12
"discern",0.21
"discernability",0.15
"discernable",0.36
"discernible",0.36
"discerning",-0.01
"discernment",0.35
"discharge",-0.40
"discharge",-0.40
"disciform",0.12
"disciple",-0.08
"disciplinarian",-0.13
"disciplinary",-0.35
"discipline",0.22
"discipline",0.22
"disciplined",0.28
"disclaimer",-0.06
"disclike",0.15
"disclose",-0.25
"disclosed",0.15
"disclosure",-0.07
"disco",0.19
"disco",0.19
"discoid",0.15
"discoidal",0.15
"discoloration",-0.29
"discolouration",-0.30
"discombobulate",-0.33
"discombobulated",-0.06
"discombobulation",-0.25
"discomfit",-0.07
"discomfited",-0.34
"discomfiture",-0.42
"discomfort",-0.54
"discommode",-0.39
"discompose",-0.07
"discomposed",-0.19
"discomposure",-0.35
"disconcert",-0.28
"disconcerted",-0.06
"disconcerting",-0.35
"disconcertingly",0.17
"disconcertion",-0.42
"disconcertment",-0.42
"disconfirming",-0.46
"disconnect",-0.29
"disconnect",-0.29
"disconnected",-0.10
"disconnection",-0.01
"disconsolate",-0.43
"disconsolately",-0.34
"disconsolateness",-0.26
"discontent",-0.56
"discontent",-0.56
"discontent",-0.56
"discontented",-0.39
"discontentedly",-0.01
"discontentedness",0.12
"discontentment",0.12
"discontinue",-0.26
"discontinuity",-0.07
"discontinuous",-0.07
"discord",-0.35
"discord",-0.35
"discordance",-0.16
"discordant",-0.33
"discordantly",0.17
"discorporate",-0.42
"discount",0.19
"discount",0.19
"discountenance",-0.23
"discourage",-0.48
"discouraged",-0.45
"discouragement",-0.17
"discouraging",-0.52
"discouragingly",0.12
"discourse",-0.45
"discourse",-0.45
"discourteous",0.18
"discourteously",0.15
"discourtesy",-0.37
"discover",0.54
"discoverable",0.28
"discovery",0.45
"discredit",-0.46
"discredit",-0.46
"discreditable",-0.26
"discredited",-0.13
"discreet",0.01
"discreetness",-0.21
"discrepancy",-0.39
"discrepant",-0.42
"discreteness",0.12
"discretion",0.10
"discretionary",0.13
"discriminable",0.28
"discriminate",-0.45
"discriminate",-0.45
"discriminating",-0.66
"discrimination",-0.63
"discriminative",0.28
"discriminatory",0.21
"disc-shaped",0.15
"discursive",0.15
"discursively",0.12
"discursiveness",0.06
"discuss",0.22
"discussion",0.29
"disdain",-0.32
"disdain",-0.32
"disdainful",-0.46
"disdainfully",0.26
"disdainfulness",-0.33
"disease",-0.83
"diseased",-0.69
"disembark",0.12
"disembarrass",0.21
"disembarrassment",-0.34
"disembodied",-0.31
"disembody",0.15
"disembroil",0.21
"disenable",-0.28
"disenchant",0.36
"disenchanted",0.44
"disenchanting",-0.25
"disenchantment",-0.06
"disencumber",-0.19
"disenfranchised",-0.28
"disengage",-0.23
"disentangle",0.18
"disesteem",-0.17
"disesteem",0.15
"disfavor",-0.34
"disfavor",0.10
"disfavour",-0.34
"disfavour",0.10
"disfiguration",-0.06
"disfigure",-0.39
"disfigured",-0.05
"disfigurement",-0.06
"disfranchised",-0.28
"disgrace",-0.63
"disgraced",-0.34
"disgraceful",-0.66
"disgracefulness",-0.06
"disgruntle",-0.38
"disgruntled",-0.47
"disgruntlement",-0.33
"disguise",-0.04
"disguised",-0.05
"disgust",-0.42
"disgust",-0.42
"disgusted",-0.58
"disgustful",-0.35
"disgusting",-0.68
"disgustingly",-0.07
"disgustingness",-0.16
"dish",0.17
"dish",0.17
"dishabille",-0.07
"disharmonious",-0.08
"disharmonize",-0.19
"disharmony",-0.25
"dishearten",-0.28
"disheartened",0.06
"disheartening",-0.38
"disheartenment",-0.18
"disheveled",-0.39
"dishevelled",-0.39
"dishonest",-0.50
"dishonestly",0.15
"dishonesty",-0.73
"dishonor",-0.65
"dishonor",-0.65
"dishonorable",-0.66
"dishonorableness",-0.39
"dishonorably",0.07
"dishonored",-0.34
"dishonour",-0.15
"dishonour",0.05
"dishonourable",-0.13
"dishonourableness",-0.39
"dishwasher",0.08
"dishy",0.21
"disillusion",-0.06
"disillusion",0.36
"disillusioned",-0.03
"disillusioning",-0.25
"disillusionment",-0.06
"disincentive",-0.07
"disinclination",-0.30
"disincline",-0.28
"disinclined",-0.42
"disinfect",0.02
"disinfectant",0.02
"disinfectant",0.02
"disinfection",-0.42
"disinfest",-0.07
"disingenuous",-0.39
"disingenuously",0.15
"disingenuousness",-0.26
"disinherit",-0.07
"disinherited",-0.38
"disintegrable",0.21
"disintegrate",-0.17
"disintegration",0.08
"disintegrative",0.04
"disinterest",-0.08
"disinterested",0.17
"disinterestedly",0.12
"disinvest",-0.02
"disinvolve",0.21
"disjoint",-0.25
"disjointed",0.02
"disjointedly",0.15
"disjointedness",-0.19
"disjunct",0.05
"disjunctive",-0.07
"disk",0.06
"disk",0.06
"disklike",0.15
"disk-shaped",0.15
"dislikable",-0.17
"dislike",-0.43
"dislike",-0.43
"disliked",-0.28
"dislodgement",0.12
"dislodgment",0.12
"dislogistic",-0.38
"disloyal",-0.68
"disloyally",-0.28
"disloyalty",-0.60
"dismal",-0.60
"dismally",0.15
"dismantle",-0.06
"dismantled",-0.07
"dismay",-0.47
"dismay",-0.47
"dismayed",0.15
"dismaying",-0.34
"dismiss",-0.10
"dismissal",-0.23
"dismissible",-0.07
"dismission",0.15
"dismissive",-0.40
"dismount",0.01
"dismount",0.01
"disobedience",-0.42
"disobedient",-0.38
"disobediently",0.12
"disobey",-0.45
"disoblige",-0.39
"disobliging",-0.06
"disorder",-0.31
"disorder",-0.31
"disordered",-0.40
"disorderliness",-0.15
"disorderly",-0.51
"disorganisation",-0.12
"disorganised",-0.19
"disorganization",-0.12
"disorganized",-0.19
"disorient",-0.19
"disorientate",-0.19
"disorientation",-0.35
"disoriented",-0.43
"disorienting",-0.34
"disown",-0.67
"disparage",-0.50
"disparager",-0.01
"disparaging",-0.42
"disparagingly",0.15
"disparate",0.11
"disparateness",0.08
"disparity",0.06
"dispassion",-0.06
"dispassionate",0.17
"dispassionately",0.15
"dispassionateness",-0.06
"dispatch",-0.02
"dispatch",-0.02
"dispatcher",-0.10
"dispel",0.10
"dispensability",0.15
"dispensable",0.21
"dispensableness",0.15
"dispensary",0.01
"dispense",0.06
"dispenser",0.06
"dispersal",-0.02
"disperse",-0.20
"dispersive",-0.07
"dispirit",-0.07
"dispirited",-0.44
"dispiritedly",-0.19
"dispiritedness",-0.33
"dispiriting",-0.38
"displace",-0.52
"displacement",-0.33
"display",0.29
"display",0.29
"displease",-0.59
"displeased",-0.39
"displeasing",-0.18
"displeasingly",-0.19
"displeasure",-0.62
"disport",0.41
"disposable",-0.25
"disposable",-0.25
"disposal",-0.25
"dispose",-0.25
"disposed",0.21
"disposition",-0.04
"dispossessed",-0.39
"dispossession",-0.02
"disproportion",0.15
"disproportional",-0.19
"disproportionate",-0.19
"disprove",-0.27
"disprover",-0.42
"disputable",0.24
"disputant",0.21
"disputation",0.12
"disputatious",0.17
"disputatiously",0.15
"disputative",0.17
"dispute",-0.62
"dispute",-0.62
"disputed",-0.07
"disqualification",-0.08
"disqualified",-0.09
"disqualify",-0.63
"disqualifying",-0.06
"disquiet",-0.33
"disquiet",-0.07
"disquieted",-0.39
"disquieting",-0.38
"disquietingly",0.17
"disquietude",-0.19
"disregard",-0.12
"disregarded",-0.19
"disregarding",-0.28
"disregardless",-0.28
"disrepair",-0.07
"disreputability",0.35
"disreputable",-0.02
"disreputableness",0.35
"disreputably",0.12
"disrepute",-0.05
"disrespect",-0.54
"disrespect",-0.54
"disrespectful",-0.57
"disrespectfully",0.12
"disrupt",-0.38
"disrupted",-0.07
"disruption",-0.42
"disruptive",-0.45
"disruptively",-0.02
"diss",-0.07
"dissatisfaction",-0.25
"dissatisfactory",-0.42
"dissatisfied",-0.43
"dissatisfy",0.12
"dissect",-0.26
"dissected",0.15
"dissection",-0.47
"dissemble",-0.22
"dissembling",-0.35
"disseminative",-0.07
"disseminator",-0.07
"dissension",-0.14
"dissent",-0.05
"dissent",-0.05
"dissentient",-0.12
"dissenting",-0.38
"dissentious",-0.34
"dissertation",-0.17
"dissidence",-0.28
"dissident",-6.07e-03
"dissilient",0.15
"dissimilar",-0.38
"dissimilarity",-0.16
"dissimilate",0.13
"dissimilation",-0.02
"dissimilitude",-0.34
"dissimulation",-0.07
"dissimulative",-0.38
"dissipate",0.16
"dissipated",-0.06
"dissipation",0.06
"dissociable",0.21
"dissociate",0.15
"dissociation",-0.01
"dissociative",-0.35
"dissolubility",0.12
"dissoluble",0.21
"dissolute",-0.18
"dissoluteness",0.21
"dissolution",0.07
"dissolvable",0.21
"dissolve",0.10
"dissolvent",0.12
"dissolver",0.12
"dissonance",-0.05
"dissonant",-0.33
"dissonate",-0.41
"dissuade",-0.22
"dissuasion",-0.02
"dissymmetry",-0.28
"distance",-0.27
"distance",-0.27
"distant",-0.06
"distaste",-0.33
"distasteful",-0.45
"distastefully",0.04
"distastefulness",-0.41
"distemper",-0.14
"distensible",0.21
"distil",0.04
"distill",0.01
"distinct",0.13
"distinction",0.01
"distinctive",0.33
"distinctiveness",0.14
"distinctness",0.16
"distinguish",0.06
"distinguishable",0.26
"distinguished",0.40
"distomatosis",-0.34
"distort",-0.40
"distortable",0.21
"distorted",-0.27
"distortion",-0.37
"distract",-0.33
"distracted",-0.19
"distractedly",0.15
"distraction",-0.23
"distrain",-0.33
"distrait",-0.19
"distraught",-0.54
"distress",-0.43
"distress",-0.43
"distressed",-0.40
"distressful",-0.39
"distressfully",-0.07
"distressfulness",-0.18
"distressing",-0.35
"distressingness",0.25
"distribute",0.01
"distribution",0.12
"distributively",-0.09
"distributor",-0.09
"district",-0.02
"district",-0.02
"distrust",-0.51
"distrust",-0.51
"distrustful",0.15
"distrustfulness",0.04
"disturb",-0.38
"disturbance",-0.58
"disturbed",-0.34
"disturber",-0.34
"disturbing",-0.58
"disturbingly",0.17
"disunify",-0.28
"disunity",-0.25
"disused",-0.07
"disyllabic",-0.08
"ditch",-0.45
"ditch",-0.45
"dither",-0.07
"dithyramb",0.12
"dithyrambic",0.21
"ditto",0.12
"ditto",0.12
"ditty",0.09
"diuresis",-0.38
"diva",-0.33
"divagation",-0.02
"dive",0.20
"dive",0.20
"diver",0.16
"diverge",-0.07
"divergence",-0.09
"divergent",-0.07
"diverging",-0.07
"divers",0.12
"diverse",0.25
"diverseness",-0.05
"diversion",0.05
"diversionary",-0.14
"diversionist",-0.34
"diversity",0.28
"divert",-0.14
"diverted",-0.07
"diverticulitis",-0.39
"diverting",0.21
"divertingly",0.36
"divest",-0.09
"dividable",-0.28
"divide",-0.05
"divination",0.42
"divinatory",0.07
"divine",0.53
"divine",0.53
"divine",0.53
"diviner",0.12
"divinity",0.27
"divisibility",0.17
"divisible",0.21
"division",-0.14
"divisive",-0.34
"divorce",-0.62
"divorce",-0.62
"divorced",0.15
"divorcee",-0.42
"divulge",-0.05
"divvy",-0.04
"dizen",-0.34
"dizziness",-0.41
"dizzy",-0.46
"dizzy",-0.46
"dle",-0.19
"dm",-0.22
"do",0.10
"do",0.10
"doable",0.13
"dobbin",-0.01
"doc",-0.08
"docetism",-0.17
"docile",0.18
"docility",0.25
"dock",0.01
"dock",0.01
"docket",-0.11
"docking",0.05
"doctor",0.23
"doctor",0.23
"doctorate",0.23
"doctorspeak",0.15
"doctrinaire",-0.38
"doctrinaire",-0.28
"doctrine",-0.02
"document",0.10
"document",0.10
"documentary",0.22
"documentary",0.22
"documentation",-0.04
"documented",0.05
"dodderer",-0.19
"doddering",0.15
"doddery",0.15
"doddle",-0.01
"dodge",-0.09
"dodger",-0.07
"dodging",0.09
"dodgy",-0.05
"dodo",-0.27
"doer",0.15
"dog",0.50
"dog",0.50
"dog-eared",-0.19
"dogfight",-0.15
"dogged",-0.42
"doggedly",-0.07
"doggedness",-0.01
"doggerel",-0.08
"dogging",-0.19
"doggy",0.50
"doghouse",0.02
"dogie",0.04
"doglike",0.21
"dogmatic",0.09
"dogmatical",0.06
"dogmatism",-0.17
"dogmatist",-0.28
"dogshit",-0.28
"dog-sized",0.12
"dog-tired",-0.02
"dogwood",0.10
"dogy",0.04
"doings",0.15
"dol",-0.08
"dolabrate",0.15
"dolabriform",0.15
"dole",-0.01
"doleful",-0.42
"dolefully",-0.19
"dolefulness",-0.39
"dolichocephalic",0.12
"dolichocephalism",-0.16
"dolichocephaly",-0.16
"doll",0.22
"dollar",0.59
"dollhouse",0.15
"dolobid",-0.19
"dolor",-0.39
"dolorous",-0.26
"dolour",-0.39
"dolourous",-0.26
"dolphin",0.41
"dolt",-0.07
"doltish",-0.28
"doltishly",0.15
"domain",0.01
"dome",0.23
"domed",0.15
"dome-shaped",0.12
"domestic",0.01
"domestic",0.01
"domesticate",0.09
"domesticated",0.20
"domestication",0.08
"domesticise",0.17
"domesticity",0.01
"domesticize",0.17
"domiciliation",0.12
"dominance",0.04
"dominant",0.03
"dominant",0.03
"dominate",-0.15
"dominated",-0.34
"dominating",0.07
"domination",-0.35
"dominatrix",-0.17
"domineering",-0.16
"domineeringly",0.12
"domineeringness",-0.06
"dominion",-0.09
"domino",8.0e-05
"don",0.09
"dona",0.12
"donate",0.42
"donatello",0.12
"donation",0.50
"donee",-0.07
"donkey",0.32
"donna",0.15
"donnish",0.21
"donor",0.39
"do-nothing",-0.25
"doodad",-0.01
"doodia",0.19
"doodle",0.34
"doodle",0.34
"doodly-squat",-0.01
"doofus",-0.19
"doohickey",-0.01
"doojigger",-0.01
"doom",-0.50
"doom",-0.50
"doomed",-0.34
"doomsday",-0.55
"door",0.10
"doorbell",0.08
"do-or-die",-0.06
"doorknob",-0.03
"doorman",0.11
"doormat",-0.33
"doornail",-0.08
"doorstep",0.03
"doorway",0.17
"dopamine",-0.09
"dope",-0.21
"dope",-0.21
"doped",-0.02
"dopey",-0.28
"dopy",-0.05
"dork",-0.16
"dorm",0.04
"dormancy",-0.06
"dormant",-0.03
"dormitory",0.01
"dorsal",0.01
"dosage",-0.10
"dose",-0.02
"dose",-0.02
"dosed",0.12
"doss",0.12
"dosshouse",-0.07
"dossier",-0.04
"dostoevski",-0.38
"dostoevsky",-0.38
"dostoyevsky",-0.38
"dot",-0.04
"dot",-0.04
"dotage",-0.25
"dotard",-0.02
"dote",0.12
"doting",0.15
"dotted",-0.03
"dottily",-0.01
"dotty",0.04
"double",0.19
"double",0.19
"double",0.19
"double",0.19
"double-barreled",0.17
"double-barrelled",0.17
"double-bedded",0.12
"double-chinned",-0.28
"doubled",0.12
"double-dealing",-0.34
"double-dyed",0.28
"double-faced",-0.28
"doubleheader",-0.05
"double-quick",0.12
"doublethink",-0.28
"double-tongued",-0.34
"doubly",0.16
"doubt",-0.43
"doubt",-0.43
"doubter",0.12
"doubtful",-0.28
"doubtfully",0.12
"doubtfulness",0.12
"doubting",0.08
"doubtless",0.21
"doubtlessly",0.21
"douche",-0.52
"douche",-0.52
"dough",0.25
"doughboy",-0.04
"doughnut",0.62
"doughy",-0.38
"dour",-0.35
"dourly",0.12
"douse",-0.27
"dove",0.47
"dowdily",0.15
"dowdiness",-0.06
"dowdy",0.06
"dowered",-0.28
"dowerless",-0.06
"down",-0.11
"down",-0.03
"down",0.08
"down",0.15
"down-and-out",-0.19
"downbound",0.15
"downcast",-0.22
"downer",-0.38
"downfall",-0.45
"downfield",-0.04
"downgrade",-0.38
"downhearted",-0.39
"downheartedness",-0.33
"downhill",-0.02
"downiness",-0.07
"download",0.25
"downmarket",-0.28
"downplay",0.27
"downright",0.26
"downright",0.36
"downrightness",0.06
"downriver",0.15
"downshift",-0.06
"downside",-0.36
"downsize",-0.06
"downspin",-0.07
"downtime",0.20
"down-to-earth",0.17
"downward",-0.25
"downward",-0.25
"downwardly",-0.07
"downwards",-0.07
"downy",0.19
"dowry",-0.07
"dowse",0.12
"doxazosin",0.12
"doxorubicin",0.12
"doze",0.23
"dozen",0.19
"dozen",0.19
"dozens",-0.19
"dph",0.12
"drab",-0.56
"drab",-0.56
"drably",0.15
"drabness",-0.06
"dracaena",0.12
"dracula",0.15
"dracunculidae",0.15
"draft",0.07
"draft",0.07
"drafty",-0.17
"drag",-0.33
"drag",-0.33
"dragee",0.02
"dragging",-0.25
"draggingly",0.15
"draggle",-0.07
"draggled",-0.39
"dragnet",0.15
"dragon",0.42
"dragonfly",0.36
"drain",-0.30
"drain",-0.30
"drainage",-0.27
"drainboard",0.12
"draining",0.15
"drainpipe",-0.12
"drake",0.01
"drama",-0.15
"dramatic",0.04
"dramatically",0.20
"dramatisation",0.12
"dramatise",0.16
"dramatization",0.12
"dramatize",0.16
"drambuie",0.12
"drape",-0.01
"drape",-0.01
"draped",-0.07
"drastic",-0.09
"drastically",0.21
"draught",-0.27
"draught",-0.27
"draughty",-0.34
"draw",0.29
"draw",0.29
"drawback",-0.15
"drawbridge",0.11
"drawer",-0.08
"drawn",-0.22
"dray",-0.28
"dread",-0.50
"dread",-0.50
"dread",-0.50
"dreaded",-0.72
"dreadful",-0.60
"dreadfully",-0.24
"dreadfulness",-0.03
"dream",0.60
"dream",0.60
"dreamed",-0.28
"dreamer",0.61
"dreamfully",0.12
"dreamily",0.12
"dreaminess",-0.39
"dreaming",0.11
"dreamland",0.50
"dreamless",-0.28
"dreamlike",0.04
"dreamworld",-0.02
"dreamy",0.63
"drear",-0.38
"drearily",0.15
"dreariness",-0.02
"dreary",-0.36
"dreck",-0.39
"dredge",-0.42
"dredge",-0.42
"dreg",-0.19
"drenched",-0.34
"dress",0.35
"dress",0.35
"dressed",-0.08
"dressed-up",-0.19
"dresser",0.07
"dressing",0.01
"dressmaker",0.46
"dressy",0.20
"dribble",-0.08
"dribble",-0.08
"dried",-0.12
"dried-out",0.28
"drift",0.02
"drift",0.02
"drifter",-0.01
"driftwood",0.13
"drill",-0.06
"drilled",0.17
"drill-like",-0.07
"drink",0.41
"drink",0.41
"drinkable",0.15
"drinkable",0.36
"drinker",-0.32
"drip",0.13
"drip",0.13
"drip-dry",-0.23
"drippily",0.12
"drippiness",-6.01e-03
"dripping",-0.07
"drippy",0.08
"dripstone",0.10
"drive",0.37
"drive",0.37
"drivel",-0.17
"drivel",-0.17
"driven",0.20
"driver",0.34
"driveway",-0.10
"driving",0.09
"drizzle",0.04
"drizzle",0.04
"droll",0.02
"drollery",0.17
"dromaeosaur",0.17
"drone",-0.37
"drone",-0.37
"droning",-0.19
"drool",-0.43
"drool",-0.43
"droop",-0.04
"droop",0.12
"drooping",-0.38
"droopingly",0.12
"droopy",-0.25
"drop",-0.19
"drop",-0.19
"drop-dead",-0.19
"drop-leaf",0.12
"drop-off",0.09
"dropout",-0.41
"dropper",0.01
"dropping",0.15
"droppings",-0.07
"dropsical",-0.42
"dropsy",-0.38
"dross",0.10
"drought",-0.55
"drouth",0.10
"drove",0.12
"drown",-0.66
"drowsily",0.15
"drowsy",-0.18
"drub",0.12
"drubbing",-0.02
"drudge",-0.08
"drudging",-0.28
"drug",-0.22
"drug-free",-0.34
"drugged",0.12
"druggist",-0.27
"drugless",-0.17
"drugstore",-0.06
"drum",0.26
"drum",0.26
"drumbeat",0.06
"drumfire",-0.19
"drumhead",-0.07
"drum-like",-0.07
"drummer",0.38
"drum-shaped",-0.07
"drunk",-0.23
"drunk",-0.23
"drunkard",-0.43
"drunken",-0.50
"drunkenly",0.15
"drunkenness",-0.39
"dry",-0.03
"dry",-0.03
"dry",-0.03
"dry-cleaned",-0.19
"dryden",0.17
"dryer",0.05
"dry-eyed",0.08
"dryness",-0.25
"dry-nurse",0.12
"dry-rot",-0.28
"dry-wall",-0.28
"ds",0.08
"dts",-0.34
"dual",0.03
"dualism",0.21
"dualist",0.15
"dub",0.08
"dub",0.08
"dubiety",0.12
"dubious",-0.38
"dubiously",0.15
"dubiousness",0.12
"dubitable",-0.07
"ducal",0.36
"duchess",0.28
"duchy",0.12
"duck",0.27
"duck",0.27
"duckbill",-0.06
"duck-billed",-0.06
"duckling",0.54
"ducky",0.40
"duct",-0.19
"ductile",0.21
"ductless",-0.38
"dud",-0.31
"dud",-0.31
"dude",0.22
"dudgeon",0.15
"due",-0.01
"due",-0.01
"due",-0.01
"duel",0.01
"duel",0.01
"duet",0.27
"duffel",-0.02
"duffer",0.15
"dugout",-0.11
"duke",-0.05
"dukedom",0.18
"dulcet",0.29
"dulciana",0.04
"dulcify",0.15
"dulcorate",0.15
"dull",-0.40
"dull",-0.40
"dullard",-0.08
"dulled",-0.13
"dullness",-0.19
"dull-purple",0.15
"dull-white",0.15
"dully",-0.09
"duluth",0.12
"duly",0.28
"dumb",-0.64
"dumbass",-0.28
"dumbbell",-0.07
"dumbfound",-0.06
"dumbfounded",-0.01
"dumbfounding",-0.17
"dumbly",0.15
"dumbness",0.06
"dumbstricken",-0.01
"dumbstruck",-0.01
"dumfounded",-0.01
"dumfounding",-0.17
"dummy",-0.33
"dummy",-0.33
"dump",-0.31
"dump",-0.31
"dumpiness",0.12
"dumpling",0.37
"dumpster",-0.38
"dumpy",-3.32e-03
"dun",0.09
"dunce",-0.44
"duncical",0.17
"duncish",0.17
"dunderhead",-0.28
"dune",0.08
"dung",-0.28
"dung",-0.28
"dungeon",-0.37
"dunghill",-0.36
"dunk",-0.08
